epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5034.33,0.66883,0.3898,0.88357,0.89561,0.59846,0.64336,0.45109,0.84451,0.4267,0.92518,0.000142437,0.000142437,0.000142437
181,5062.28,0.66454,0.38404,0.87953,0.91761,0.58049,0.64861,0.46087,0.84293,0.42475,0.92302,0.00013625,0.00013625,0.00013625
182,5090.03,0.65499,0.37783,0.88608,0.89843,0.59815,0.64434,0.45819,0.84109,0.42122,0.92113,0.000130062,0.000130062,0.000130062
183,5118.8,0.65499,0.37869,0.87852,0.89778,0.59753,0.64801,0.45438,0.83947,0.42146,0.91835,0.000123875,0.000123875,0.000123875
184,5146.72,0.65299,0.38197,0.88345,0.8965,0.59595,0.64247,0.45445,0.83926,0.41951,0.91795,0.000117687,0.000117687,0.000117687
185,5174.26,0.65162,0.38008,0.87835,0.90268,0.59937,0.63922,0.45725,0.84268,0.42014,0.92064,0.0001115,0.0001115,0.0001115
186,5202.06,0.65506,0.38036,0.8792,0.89104,0.61052,0.64231,0.45909,0.8412,0.42123,0.9226,0.000105312,0.000105312,0.000105312
187,5229.58,0.65037,0.38003,0.88231,0.90042,0.59789,0.63637,0.45415,0.84056,0.42188,0.92254,9.9125e-05,9.9125e-05,9.9125e-05
188,5258.32,0.63911,0.3761,0.88018,0.89814,0.60482,0.63615,0.45038,0.84189,0.42217,0.92291,9.29375e-05,9.29375e-05,9.29375e-05
189,5285.63,0.64102,0.37271,0.87869,0.88248,0.61762,0.63733,0.45603,0.84074,0.42058,0.9224,8.675e-05,8.675e-05,8.675e-05
190,5312.92,0.64967,0.37947,0.88092,0.90092,0.58508,0.63857,0.45252,0.84118,0.42029,0.92193,8.05625e-05,8.05625e-05,8.05625e-05
191,5341.96,0.62456,0.33835,0.85366,0.91057,0.58204,0.6427,0.45732,0.84677,0.42623,0.92474,7.4375e-05,7.4375e-05,7.4375e-05
192,5369.14,0.62186,0.32879,0.84585,0.92905,0.56042,0.6449,0.45648,0.84827,0.42933,0.92302,6.81875e-05,6.81875e-05,6.81875e-05
193,5395.96,0.61294,0.32505,0.84875,0.91561,0.58911,0.64704,0.46219,0.84625,0.42903,0.9214,6.2e-05,6.2e-05,6.2e-05
194,5423.78,0.61725,0.33139,0.84582,0.9032,0.59552,0.65033,0.46242,0.84509,0.42744,0.92071,5.58125e-05,5.58125e-05,5.58125e-05
195,5450.61,0.61219,0.32587,0.85158,0.90711,0.58347,0.64802,0.45923,0.84635,0.42423,0.92271,4.9625e-05,4.9625e-05,4.9625e-05
196,5478.03,0.60462,0.32769,0.84939,0.9108,0.58189,0.64128,0.45443,0.84444,0.42578,0.92229,4.34375e-05,4.34375e-05,4.34375e-05
197,5504.98,0.60167,0.32194,0.84405,0.92413,0.58056,0.64389,0.45543,0.84233,0.42369,0.92024,3.725e-05,3.725e-05,3.725e-05
198,5532.43,0.589,0.31295,0.84238,0.91758,0.5799,0.64021,0.45546,0.84319,0.42322,0.91992,3.10625e-05,3.10625e-05,3.10625e-05
199,5559.57,0.59134,0.3144,0.83708,0.90418,0.58184,0.64315,0.46076,0.84442,0.42538,0.92024,2.4875e-05,2.4875e-05,2.4875e-05
200,5588.43,0.59631,0.31709,0.84527,0.88972,0.60345,0.64877,0.46189,0.84452,0.42563,0.92019,1.86875e-05,1.86875e-05,1.86875e-05
