epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1173.54,0.92425,0.59268,0.97536,0.91002,0.4925,0.58771,0.37853,0.93571,0.53748,0.9553,0.000996313,0.000996313,0.000996313
43,1200.62,0.92031,0.58128,0.97475,0.88582,0.53211,0.60456,0.39958,0.91188,0.53951,0.94418,0.000990125,0.000990125,0.000990125
44,1228.96,0.91641,0.58528,0.97186,0.87684,0.54562,0.61666,0.40494,0.90483,0.51772,0.93995,0.000983938,0.000983938,0.000983938
45,1258.46,0.91189,0.58705,0.97481,0.87325,0.55423,0.61431,0.38785,0.92594,0.53759,0.9565,0.00097775,0.00097775,0.00097775
46,1286.12,0.9189,0.58178,0.97317,0.78758,0.59193,0.59653,0.39074,0.89542,0.52565,0.945,0.000971562,0.000971562,0.000971562
47,1313.8,0.91716,0.5798,0.97092,0.86621,0.51665,0.57352,0.37602,0.92706,0.53527,0.95351,0.000965375,0.000965375,0.000965375
48,1341.29,0.92013,0.57751,0.97311,0.86513,0.54128,0.59853,0.40273,0.90914,0.52846,0.94001,0.000959187,0.000959187,0.000959187
49,1369.11,0.89708,0.57271,0.95946,0.88063,0.55723,0.59948,0.39001,0.90942,0.51738,0.94708,0.000953,0.000953,0.000953
50,1398.09,0.90618,0.56881,0.96569,0.80861,0.54761,0.56899,0.37063,0.90382,0.5246,0.94818,0.000946812,0.000946812,0.000946812
51,1426.34,0.90485,0.57154,0.96751,0.81926,0.53324,0.57145,0.37642,0.91305,0.52684,0.9442,0.000940625,0.000940625,0.000940625
52,1454.28,0.89482,0.56548,0.96782,0.83307,0.54065,0.58772,0.38512,0.90404,0.5196,0.93991,0.000934438,0.000934438,0.000934438
53,1482.71,0.90092,0.56932,0.97153,0.87074,0.52792,0.60007,0.37633,0.9156,0.51932,0.94903,0.00092825,0.00092825,0.00092825
54,1510.24,0.88779,0.56855,0.96997,0.86019,0.55414,0.59911,0.37142,0.92678,0.52444,0.95046,0.000922063,0.000922063,0.000922063
55,1537.9,0.8915,0.55216,0.96264,0.90746,0.55794,0.61547,0.40563,0.89724,0.51148,0.94104,0.000915875,0.000915875,0.000915875
56,1567.75,0.89299,0.56145,0.9673,0.87164,0.55658,0.61311,0.40123,0.91257,0.51523,0.94926,0.000909688,0.000909688,0.000909688
57,1595.35,0.88204,0.55633,0.9593,0.8544,0.53928,0.57865,0.36085,0.97115,0.54012,0.96463,0.0009035,0.0009035,0.0009035
58,1623.11,0.8886,0.55733,0.96232,0.89217,0.57357,0.60219,0.40312,0.89408,0.4951,0.94311,0.000897313,0.000897313,0.000897313
59,1650.76,0.87802,0.55087,0.95344,0.85558,0.55584,0.60645,0.39183,0.8935,0.49912,0.93928,0.000891125,0.000891125,0.000891125
60,1678.85,0.87028,0.55174,0.95888,0.85455,0.54904,0.60351,0.40004,0.8945,0.50718,0.94198,0.000884938,0.000884938,0.000884938
61,1707.68,0.87653,0.54559,0.95926,0.8711,0.55553,0.60835,0.40249,0.91182,0.51026,0.94523,0.00087875,0.00087875,0.00087875
62,1735.58,0.87395,0.55188,0.95716,0.88136,0.53068,0.61134,0.40058,0.89131,0.505,0.94054,0.000872563,0.000872563,0.000872563
63,1763.58,0.87784,0.54872,0.95725,0.84968,0.58142,0.62378,0.392,0.92734,0.50774,0.95195,0.000866375,0.000866375,0.000866375
64,1791.39,0.87625,0.54739,0.953,0.82658,0.54778,0.58264,0.37659,0.95188,0.53029,0.95925,0.000860188,0.000860188,0.000860188
65,1819.06,0.86236,0.54321,0.95052,0.88941,0.53273,0.5939,0.37122,0.9153,0.50649,0.94381,0.000854,0.000854,0.000854
66,1846.52,0.86783,0.5389,0.94442,0.8501,0.57705,0.6103,0.40967,0.89314,0.49655,0.93668,0.000847813,0.000847813,0.000847813
67,1876.87,0.85347,0.52933,0.94642,0.85292,0.57858,0.60343,0.39585,0.89998,0.51554,0.94658,0.000841625,0.000841625,0.000841625
68,1904.21,0.84689,0.52846,0.94941,0.89191,0.55517,0.60769,0.40971,0.87869,0.48832,0.93834,0.000835438,0.000835438,0.000835438
69,1932.01,0.85735,0.53284,0.95343,0.87318,0.5133,0.58678,0.39877,0.89318,0.49569,0.94403,0.00082925,0.00082925,0.00082925
70,1959.55,0.87382,0.54572,0.95199,0.6732,0.54218,0.62841,0.41029,0.88202,0.49461,0.93777,0.000823063,0.000823063,0.000823063
71,1988.08,0.84073,0.52697,0.94737,0.89918,0.58544,0.61741,0.40402,0.88805,0.49585,0.93962,0.000816875,0.000816875,0.000816875
72,2016.85,0.85222,0.53274,0.94799,0.87681,0.56271,0.5932,0.39857,0.89962,0.49822,0.94131,0.000810688,0.000810688,0.000810688
73,2044.74,0.85405,0.52406,0.9515,0.86779,0.565,0.6251,0.40584,0.88654,0.48293,0.94368,0.0008045,0.0008045,0.0008045
74,2072.28,0.84196,0.52041,0.94851,0.8669,0.54654,0.60853,0.40953,0.88937,0.48794,0.94208,0.000798313,0.000798313,0.000798313
75,2100.36,0.85997,0.52583,0.94844,0.88886,0.59546,0.61234,0.3895,0.88493,0.4933,0.93465,0.000792125,0.000792125,0.000792125
76,2127.91,0.84082,0.51471,0.93801,0.87547,0.57918,0.62367,0.40948,0.8771,0.49076,0.9353,0.000785938,0.000785938,0.000785938
77,2155.08,0.82915,0.51946,0.94037,0.92875,0.55847,0.62799,0.41573,0.89535,0.49215,0.94088,0.00077975,0.00077975,0.00077975
78,2184.81,0.81834,0.50197,0.93416,0.91224,0.55352,0.6285,0.42874,0.86913,0.47549,0.9326,0.000773563,0.000773563,0.000773563
79,2213.38,0.83453,0.51224,0.93551,0.8768,0.58895,0.62078,0.41841,0.8853,0.48532,0.93548,0.000767375,0.000767375,0.000767375
80,2240.94,0.8306,0.50351,0.9423,0.87388,0.57442,0.61485,0.41954,0.87286,0.4799,0.92445,0.000761188,0.000761188,0.000761188
81,2268.05,0.83202,0.50942,0.94232,0.89409,0.54323,0.59974,0.41685,0.89017,0.48566,0.9379,0.000755,0.000755,0.000755
82,2295.16,0.82603,0.50871,0.93662,0.89083,0.5729,0.62106,0.40506,0.88406,0.48516,0.93182,0.000748813,0.000748813,0.000748813
83,2323.54,0.84129,0.51624,0.94643,0.8586,0.55588,0.57207,0.39465,0.88114,0.48978,0.93498,0.000742625,0.000742625,0.000742625
84,2351.15,0.80881,0.50816,0.93313,0.86642,0.56422,0.6099,0.40912,0.87671,0.49253,0.92854,0.000736438,0.000736438,0.000736438
85,2378.36,0.81474,0.5007,0.93585,0.86452,0.59474,0.59377,0.41077,0.88211,0.48736,0.92843,0.00073025,0.00073025,0.00073025
86,2406.14,0.80775,0.49569,0.93739,0.88019,0.58375,0.62053,0.41746,0.87901,0.47332,0.9251,0.000724062,0.000724062,0.000724062
87,2433.87,0.81096,0.50571,0.93186,0.91156,0.56487,0.62412,0.41357,0.87839,0.47597,0.92958,0.000717875,0.000717875,0.000717875
88,2461.62,0.82201,0.49907,0.93343,0.87492,0.55281,0.61514,0.41938,0.87839,0.47218,0.92708,0.000711687,0.000711687,0.000711687
89,2490.63,0.81185,0.49586,0.93104,0.83749,0.57068,0.60772,0.40796,0.86754,0.47759,0.92868,0.0007055,0.0007055,0.0007055
90,2518.31,0.80503,0.48917,0.92808,0.8437,0.59882,0.62215,0.42341,0.86746,0.46815,0.92138,0.000699312,0.000699312,0.000699312
91,2545.89,0.8106,0.49134,0.92972,0.88538,0.57007,0.614,0.41283,0.8794,0.48125,0.93203,0.000693125,0.000693125,0.000693125
92,2573.61,0.8031,0.4902,0.92837,0.88804,0.59647,0.63389,0.42496,0.87839,0.48361,0.93548,0.000686937,0.000686937,0.000686937
93,2601.07,0.80078,0.48938,0.9301,0.93007,0.57117,0.64385,0.41666,0.86497,0.46787,0.93165,0.00068075,0.00068075,0.00068075
94,2628.8,0.80039,0.4878,0.92795,0.89948,0.59359,0.63221,0.41947,0.86645,0.47222,0.92556,0.000674562,0.000674562,0.000674562
95,2656.31,0.78561,0.48167,0.92426,0.8711,0.58465,0.61232,0.42366,0.87419,0.46701,0.93032,0.000668375,0.000668375,0.000668375
96,2684.3,0.80529,0.48584,0.92471,0.89517,0.6013,0.63366,0.42994,0.85747,0.46321,0.92263,0.000662188,0.000662188,0.000662188
97,2713.33,0.79324,0.48599,0.92837,0.92265,0.58279,0.64693,0.43242,0.86296,0.45935,0.9247,0.000656,0.000656,0.000656
98,2742.39,0.78865,0.47861,0.92173,0.91048,0.57694,0.63326,0.42359,0.87605,0.46341,0.93121,0.000649813,0.000649813,0.000649813
99,2769.6,0.78565,0.48253,0.92612,0.91481,0.58212,0.62985,0.43558,0.85898,0.46257,0.92304,0.000643625,0.000643625,0.000643625
100,2799.47,0.78309,0.48436,0.92337,0.86986,0.59848,0.63061,0.42679,0.87085,0.47008,0.93835,0.000637437,0.000637437,0.000637437
101,2827.03,0.79867,0.48733,0.92163,0.92343,0.58784,0.62005,0.42331,0.86354,0.46505,0.93248,0.00063125,0.00063125,0.00063125
102,2854.43,0.79263,0.4757,0.92592,0.91848,0.57381,0.62327,0.41735,0.8851,0.46953,0.93782,0.000625062,0.000625062,0.000625062
103,2881.92,0.79399,0.4809,0.92539,0.93424,0.55334,0.62746,0.42476,0.87501,0.47098,0.93451,0.000618875,0.000618875,0.000618875
104,2909.66,0.77938,0.47701,0.92294,0.82892,0.61321,0.6167,0.41852,0.87116,0.47131,0.92821,0.000612687,0.000612687,0.000612687
105,2938.82,0.76947,0.47628,0.9192,0.91353,0.5902,0.64173,0.42989,0.86553,0.46104,0.92877,0.0006065,0.0006065,0.0006065
106,2966.32,0.77447,0.46871,0.91429,0.92767,0.60094,0.64223,0.43126,0.8656,0.45912,0.9269,0.000600313,0.000600313,0.000600313
107,2993.75,0.76178,0.45541,0.91375,0.89484,0.5928,0.63333,0.42488,0.86425,0.4703,0.93379,0.000594125,0.000594125,0.000594125
108,3021.68,0.76235,0.46152,0.91312,0.93146,0.57556,0.63674,0.42715,0.86874,0.46861,0.93445,0.000587938,0.000587938,0.000587938
109,3049.11,0.7781,0.46108,0.91651,0.88351,0.56984,0.61506,0.42285,0.85688,0.45687,0.92578,0.00058175,0.00058175,0.00058175
110,3076.62,0.77505,0.46569,0.91567,0.8627,0.61117,0.59423,0.41749,0.85055,0.45504,0.92727,0.000575563,0.000575563,0.000575563
111,3105.61,0.77091,0.46008,0.91575,0.89,0.59791,0.62217,0.43326,0.87686,0.46208,0.93266,0.000569375,0.000569375,0.000569375
112,3132.58,0.77609,0.46909,0.91782,0.88045,0.58615,0.59008,0.39738,0.88109,0.46223,0.93713,0.000563187,0.000563187,0.000563187
113,3159.68,0.76609,0.4636,0.92367,0.89702,0.57311,0.63567,0.42766,0.8642,0.4562,0.92777,0.000557,0.000557,0.000557
114,3186.76,0.77397,0.46242,0.91839,0.91636,0.58015,0.68574,0.44725,0.86712,0.46385,0.9306,0.000550813,0.000550813,0.000550813
115,3215.32,0.75563,0.45407,0.91758,0.88402,0.60893,0.63842,0.43631,0.86461,0.45491,0.93132,0.000544625,0.000544625,0.000544625
116,3244.23,0.76102,0.45981,0.9125,0.90637,0.59057,0.62956,0.43884,0.85836,0.45362,0.93079,0.000538438,0.000538438,0.000538438
117,3271.79,0.75204,0.44852,0.91103,0.92693,0.55497,0.63319,0.44085,0.8603,0.45232,0.92853,0.00053225,0.00053225,0.00053225
118,3299.48,0.76328,0.46376,0.91383,0.91657,0.56189,0.62338,0.42531,0.87833,0.45912,0.93253,0.000526063,0.000526063,0.000526063
119,3327.22,0.75293,0.45371,0.91124,0.92383,0.57841,0.63526,0.43605,0.8774,0.46307,0.93216,0.000519875,0.000519875,0.000519875
120,3354.99,0.7677,0.4578,0.91937,0.927,0.59509,0.63428,0.43037,0.88509,0.4588,0.93563,0.000513688,0.000513688,0.000513688
121,3382.7,0.7338,0.44383,0.90784,0.9307,0.56575,0.63034,0.43162,0.86669,0.45356,0.93123,0.0005075,0.0005075,0.0005075
122,3412.03,0.74568,0.4461,0.90945,0.95054,0.56395,0.63344,0.44321,0.85764,0.44557,0.9252,0.000501313,0.000501313,0.000501313
